fecha_pedido,fecha_envio,modo_envio,nombre_cliente,segmento_cliente,ciudad,estado,region,departamento_producto,tipo_producto,precio_base,precio_unit_sin_desc,descuento,precio_unit_venta,cantidad_pedido,total_venta,total_ganancia
2021-11-09,2021-11-12,Económico,Thiago Silveira,B2C,Ribeirão Preto,São Paulo,Sureste,Ropa,Camisetas,409.7,445.33,0.0,445.33,2,890.66,71.25999999999999
2021-11-09,2021-11-12,Económico,Thiago Silveira,B2C,Ribeirão Preto,São Paulo,Sureste,Ropa,Jeans,705.1,829.53,0.0,829.53,3,2488.59,373.28999999999996
2021-06-13,2021-06-17,Económico,Giovanna Lima,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Toallitas desinfectantes,19.02,24.86,0.0,24.86,2,49.72,11.68
2020-10-12,2020-10-19,Entrega estándar,Ana Júlia da Cruz,B2C,Foz do Iguaçu,Paraná,Sur,Ropa,Zapatillas,781.38,840.19,0.225,651.15,5,3255.75,-651.1500000000001
2020-10-12,2020-10-19,Entrega estándar,Ana Júlia da Cruz,B2C,Foz do Iguaçu,Paraná,Sur,Productos de Limpieza,Papel higiénico,35.88,42.24,0.1,38.02,2,76.04,4.280000000000001
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Ropa,Vestidos,20.29,23.73,0.0,23.73,7,166.11,24.080000000000013
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Limpiador de inodoros,5.35,6.19,0.0,6.19,4,24.76,3.360000000000003
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Cámaras digitales,488.35,571.17,0.1,514.05,6,3084.2999999999997,154.19999999999936
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Lámparas LED,17.69,23.3,0.1,20.97,3,62.91,9.83999999999999
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Ambientador en spray,66.41,78.13,0.0,78.13,5,390.65,58.60000000000002
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Ropa,Zapatillas,628.45,716.18,0.1,644.56,9,5801.039999999999,144.98999999999887
2019-06-10,2019-06-15,Entrega estándar,Sophia Dias,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Cámaras digitales,745.66,860.79,0.1,774.71,4,3098.84,116.20000000000027
2022-04-16,2022-04-21,Entrega estándar,prueba,B2C,São João de Meriti,Rio de Janeiro,Sureste,Productos de Limpieza,Bolsas de basura,14.54,19.59,0.1,17.63,3,52.89,9.270000000000003
2021-12-06,2021-12-11,Entrega estándar,Alana Ramos,B2C,Fortaleza,Ceará,Noreste,Electrónicos,Lámparas LED,387.24,513.74,0.1,462.37,3,1387.1100000000001,225.3900000000001
2020-11-23,2020-11-27,Entrega estándar,Nicolas Rezende,B2B,Rio Branco,Acre,Norte,Productos de Limpieza,Ambientador en spray,88.9,77.98,0.4,46.79,5,233.95,-210.55
2020-11-23,2020-11-27,Entrega estándar,Nicolas Rezende,B2B,Rio Branco,Acre,Norte,Electrónicos,Lámparas LED,5.04,4.8,0.4,2.88,3,8.64,-6.48
2019-11-12,2019-11-19,Entrega estándar,Gabriel da Paz,B2C,Itapecerica da Serra,São Paulo,Sureste,Productos de Limpieza,Papel higiénico,373.56,377.33,0.0,377.33,6,2263.98,22.61999999999989
2019-08-28,2019-09-02,Económico,Amanda Nascimento,B2C,Salvador,Bahia,Noreste,Productos de Limpieza,Limpiador de inodoros,12.44,14.55,0.0,14.55,2,29.1,4.220000000000002
2019-08-28,2019-09-02,Económico,Amanda Nascimento,B2C,Salvador,Bahia,Noreste,Electrónicos,Cámaras digitales,232.87,268.82,0.1,241.94,3,725.8199999999999,27.209999999999923
2019-08-28,2019-09-02,Económico,Amanda Nascimento,B2C,Salvador,Bahia,Noreste,Electrónicos,Lámparas LED,16.17,21.46,0.1,19.31,4,77.24,12.559999999999988
2021-12-10,2021-12-14,Entrega estándar,Alice Ribeiro,B2B,Porto Seguro,Bahia,Noreste,Productos de Limpieza,Limpiador de inodoros,8.22,9.45,0.0,9.45,7,66.14999999999999,8.609999999999985
2021-12-10,2021-12-14,Entrega estándar,Alice Ribeiro,B2B,Porto Seguro,Bahia,Noreste,Productos de Limpieza,Ambientador en spray,25.5,29.31,0.0,29.31,7,205.17,26.669999999999987
